SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,42 W Newton St Unit B2,Boston,MA,02118,835000,2,1.0,Boston,948,948,1910,1,881,441,Active,July-19-2024 04:00 PM,July-19-2024 06:00 PM,https://www.redfin.com/MA/Boston/42-West-Newton-St-02118/unit-B2/home/9286371,MLS PIN,73266395,N,Y,42.3392684,-71.0743166
MLS Listing,,Single Family Residential,265 Spiers Rd,Newton,MA,02459,1099000,4,2.0,Newton,1728,7000,1952,1,636,,Active,July-18-2024 04:30 PM,July-18-2024 06:00 PM,https://www.redfin.com/MA/Newton-Center/265-Spiers-Rd-02459/home/11491159,MLS PIN,73266013,N,Y,42.2936693,-71.1799187
MLS Listing,,Condo/Co-op,85 Brainerd Rd Unit TH8,Boston,MA,02134,1199000,3,2.5,Allston,1937,1900,1986,1,619,524,Active,July-20-2024 10:00 AM,July-20-2024 11:30 AM,https://www.redfin.com/MA/Allston/85-Brainerd-Rd-02134/unit-TH8/home/8986191,MLS PIN,73265796,N,Y,42.3472322,-71.1348713
MLS Listing,,Condo/Co-op,944 Dorchester Ave #58,Boston,MA,02125,699000,2,1.0,Boston,1057,1057,1910,3,661,597,Active,July-18-2024 05:30 PM,July-18-2024 06:30 PM,https://www.redfin.com/MA/Dorchester/944-Dorchester-Ave-02125/unit-58/home/45407385,MLS PIN,73264606,N,Y,42.3183743,-71.0562303
MLS Listing,,Condo/Co-op,50 Jamaicaway #2,Boston,MA,02130,515000,2,1.0,Boston,723,720,1923,7,712,504,Active,,,https://www.redfin.com/MA/Jamaica-Plain/50-Jamaicaway-02130/unit-2/home/9141304,MLS PIN,73263283,N,Y,42.3305069,-71.1121228
MLS Listing,,Single Family Residential,57 Round Hill St,Boston,MA,02130,1050000,5,3.0,Jamaica Plain,2374,3405,1910,10,442,,Active,,,https://www.redfin.com/MA/Jamaica-Plain/57-Round-Hill-St-02130/home/9146864,MLS PIN,73260989,N,Y,42.3249396,-71.1072282
MLS Listing,,Townhouse,26 Mount Vernon St Unit 1R,Boston,MA,02108,1400000,2,2.0,Boston,1161,984,1850,28,1206,750,Active,July-21-2024 11:00 AM,July-21-2024 12:30 PM,https://www.redfin.com/MA/Boston/26-Mount-Vernon-St-02108/unit-1R/home/9258898,MLS PIN,73255137,N,Y,42.3582275,-71.065539
MLS Listing,,Single Family Residential,48 Anawan Ave,Boston,MA,02132,959000,4,2.5,West Roxbury,2151,4317,1915,29,446,,Active,,,https://www.redfin.com/MA/West-Roxbury/48-Anawan-Ave-02132/home/9206696,MLS PIN,73254980,N,Y,42.285058858,-71.14740191
MLS Listing,,Condo/Co-op,372 Quincy St #372,Boston,MA,02125,610000,5,2.0,Boston,2237,2175,1910,30,273,370,Active,July-20-2024 10:00 AM,July-20-2024 11:30 AM,https://www.redfin.com/MA/Boston/372-Quincy-St-02125/unit-372/home/102085764,MLS PIN,73253682,N,Y,42.3105326,-71.0679664
MLS Listing,,Condo/Co-op,140 Shawmut Ave Unit 2A,Boston,MA,02118,1350000,2,2.0,South End,1200,,2017,35,1125,954,Active,July-20-2024 10:00 AM,July-20-2024 11:30 AM,https://www.redfin.com/MA/Boston/140-Shawmut-Ave-02118/unit-2A/home/103827045,MLS PIN,73252063,N,Y,42.3459644,-71.0657809
MLS Listing,,Single Family Residential,443 Poplar St,Boston,MA,02131,1065000,4,2.5,Roslindale,1978,6003,2019,38,538,,Active,July-21-2024 12:30 PM,July-21-2024 02:00 PM,https://www.redfin.com/MA/Roslindale/443-Poplar-St-02131/home/9178314,MLS PIN,73249918,N,Y,42.2752977,-71.1271751
MLS Listing,,Condo/Co-op,9 Glover Ct #1,Boston,MA,02127,1249000,3,2.0,Boston,1763,,2023,42,708,310,Active,,,https://www.redfin.com/MA/Boston/9-Glover-Ct-02127/unit-1/home/185082537,MLS PIN,73248736,N,Y,42.331089,-71.0565109
MLS Listing,,Condo/Co-op,9 Glover Ct #3,Boston,MA,02127,1349000,3,2.0,Boston,1763,,2023,42,765,361,Active,,,https://www.redfin.com/MA/Boston/9-Glover-Ct-02127/unit-3/home/185736239,MLS PIN,73248741,N,Y,42.331081068,-71.05635801
MLS Listing,,Condo/Co-op,58 Dustin St #1,Boston,MA,02135,1050000,2,2.0,Brighton,1847,3430,1900,43,568,175,Active,,,https://www.redfin.com/MA/Boston/58-Dustin-St-02135/unit-1/home/190933482,MLS PIN,73247503,N,Y,42.3527524,-71.1456213
MLS Listing,,Condo/Co-op,211 E Cottage St #2,Boston,MA,02125,675000,2,2.0,Dorchester,1229,1229,1905,43,549,300,Active,July-20-2024 12:30 PM,July-20-2024 02:00 PM,https://www.redfin.com/MA/Dorchester/211-E-Cottage-St-02125/unit-2/home/12431821,MLS PIN,73247351,N,Y,42.3192462,-71.0602912
MLS Listing,,Condo/Co-op,19 Salem #2,Boston,MA,02129,675000,1,1.0,Charlestown,745,,1870,51,906,273,Active,,,https://www.redfin.com/MA/Charlestown/19-Salem-St-02129/unit-2/home/9046732,MLS PIN,73242956,N,Y,42.3775829,-71.0658935
MLS Listing,,Townhouse,5 Main St #5,Boston,MA,02129,1199000,3,2.0,Charlestown,1345,,1987,91,891,455,Active,,,https://www.redfin.com/MA/Charlestown/5-Main-St-02129/home/9052167,MLS PIN,73225664,N,Y,42.3725368,-71.0618056
MLS Listing,,Condo/Co-op,210 South St Unit 5-1,Boston,MA,02111,1050000,2,2.0,Leather District,1730,1709,1920,112,607,850,Active,July-20-2024 01:00 PM,July-20-2024 02:30 PM,https://www.redfin.com/MA/Boston/210-South-St-02111/unit-51/home/12440342,MLS PIN,73217195,N,Y,42.3498598,-71.0572982
MLS Listing,,Condo/Co-op,170 Tremont St #1501,Boston,MA,02111,1425000,3,2.0,Boston,1430,1430,1989,167,997,2454,Active,,,https://www.redfin.com/MA/Boston/170-Tremont-St-02111/unit-1501/home/9232374,MLS PIN,73198414,N,Y,42.353688,-71.0638444
MLS Listing,,Condo/Co-op,717 Atlantic Ave Unit 2A,Boston,MA,02111,950000,1,1.0,Leather District,1472,1472,1900,250,645,692,Active,July-21-2024 02:00 PM,July-21-2024 03:30 PM,https://www.redfin.com/MA/Boston/717-Atlantic-Ave-02111/unit-2A/home/9231940,MLS PIN,73169035,N,Y,42.3508223,-71.0566329
MLS Listing,,Condo/Co-op,391 Hyde Park Ave #210,Boston,MA,02131,485000,2,1.5,Boston,1166,1166,1989,1,416,391,Active,,,https://www.redfin.com/MA/Roslindale/391-Hyde-Park-Ave-02131/unit-210/home/9166682,MLS PIN,73266737,N,Y,42.28706,-71.1190425
MLS Listing,,Townhouse,1815 River St #1815,Boston,MA,02136,849000,4,2.5,Hyde Park's Readville,2100,8156,2024,1,404,300,Active,July-20-2024 12:00 PM,July-20-2024 01:30 PM,https://www.redfin.com/MA/Boston/1815-River-St-02136/unit-1815/home/191718624,MLS PIN,73266714,N,Y,42.2437286,-71.1390806
MLS Listing,,Condo/Co-op,771 Harrison Ave Ph 8,Boston,MA,02118,1599000,2,3.5,South End,2479,,2021,1,645,2134,Active,,,https://www.redfin.com/MA/Boston/771-Harrison-Ave-02118/unit-8/home/182202927,MLS PIN,73266717,N,Y,42.336939,-71.0729925
