SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,2342 W Adams St #202,Chicago,IL,60612,267000,1,1.0,CHI - Near West Side,570,,2022,1,468,145,Active,July-20-2024 12:00 AM,July-20-2024 02:00 PM,https://www.redfin.com/IL/Chicago/2342-W-Adams-St-60612/unit-202/home/178766125,MRED as Distributed by MLS Grid,12112248,N,Y,41.8787265,-87.6857267
MLS Listing,,Single Family Residential,3638 N Oconto Ave,Chicago,IL,60634,379900,3,2.0,CHI - Dunning,1624,4477,1946,1,234,,Active,,,https://www.redfin.com/IL/Chicago/3638-N-Oconto-Ave-60634/home/13543603,MRED as Distributed by MLS Grid,12110982,N,Y,41.9464227,-87.8085397
MLS Listing,,Single Family Residential,3327 W Glenlake Ave,Chicago,IL,60659,950000,6,4.5,CHI - North Park,4230,8276,1946,1,225,,Active,July-21-2024 01:00 PM,July-21-2024 03:00 PM,https://www.redfin.com/IL/Chicago/3327-W-Glenlake-Ave-60659/home/13516913,MRED as Distributed by MLS Grid,12114854,N,Y,41.9918784,-87.7124855
MLS Listing,,Multi-Family (2-4 Unit),1826 W Sunnyside Ave,Chicago,IL,60640,749900,8,4.0,CHI - Lincoln Square,,3484,1902,1,,,Active,July-20-2024 11:00 AM,July-20-2024 02:00 PM,https://www.redfin.com/IL/Chicago/1826-W-Sunnyside-Ave-60640/home/191396145,MRED as Distributed by MLS Grid,12114832,N,Y,41.9635519,-87.6757234
MLS Listing,,Condo/Co-op,343 W Old Town Ct #709,Chicago,IL,60610,499900,2,2.0,CHI - Near North Side,1250,,2004,1,400,572,Active,,,https://www.redfin.com/IL/Chicago/343-W-Old-Town-Ct-60610/unit-709/home/12612771,MRED as Distributed by MLS Grid,12114738,N,Y,41.9040446,-87.6378902
MLS Listing,,Condo/Co-op,3100 W Berteau Ave Unit G,Chicago,IL,60618,240000,2,1.0,CHI - Irving Park,950,,1916,1,253,252,Active,July-20-2024 11:00 AM,July-20-2024 01:00 PM,https://www.redfin.com/IL/Chicago/3100-W-Berteau-Ave-60618/unit-G/home/183992597,MRED as Distributed by MLS Grid,12114091,N,Y,41.9577526,-87.7060535
MLS Listing,,Single Family Residential,1001 W 102nd St,Chicago,IL,60643,265000,4,2.0,CHI - Washington Heights,,,1955,1,,,Active,July-20-2024 11:00 AM,July-20-2024 01:00 PM,https://www.redfin.com/IL/Chicago/1001-W-102nd-St-60643/home/13093723,MRED as Distributed by MLS Grid,12112450,N,Y,41.7084553,-87.6479381
MLS Listing,,Condo/Co-op,1660 N La Salle Dr #3606,Chicago,IL,60614,325000,1,1.0,CHI - Lincoln Park,,,1972,1,,650,Active,July-20-2024 11:00 AM,July-20-2024 12:30 PM,https://www.redfin.com/IL/Chicago/1660-N-La-Salle-Dr-60614/unit-3606/home/189484023,MRED as Distributed by MLS Grid,12113532,N,Y,41.912668,-87.6334836
MLS Listing,,Multi-Family (2-4 Unit),4734 N Winchester Ave,Chicago,IL,60640,725000,6,3.0,CHI - Lincoln Square,,5202,1890,1,,,Active,July-20-2024 10:00 AM,July-20-2024 12:00 PM,https://www.redfin.com/IL/Chicago/4734-N-Winchester-Ave-60640/home/13392195,MRED as Distributed by MLS Grid,12105317,N,Y,41.9679827,-87.6780433
MLS Listing,,Condo/Co-op,1740 W Foster Ave Unit 3R,Chicago,IL,60640,274900,1,1.5,CHI - Edgewater,,,1929,1,,352,Active,July-20-2024 11:00 AM,July-20-2024 01:00 PM,https://www.redfin.com/IL/Chicago/1740-W-Foster-Ave-60640/unit-3R/home/18932424,MRED as Distributed by MLS Grid,12113419,N,Y,41.9763951,-87.6737143
MLS Listing,,Multi-Family (2-4 Unit),3703 N Christiana Ave,Chicago,IL,60618,615000,5,3.0,Addison Mall,,,1908,2,,,Active,,,https://www.redfin.com/IL/Chicago/3703-N-Christiana-Ave-60618/home/183837426,MRED as Distributed by MLS Grid,12112873,N,Y,41.9486339,-87.7112801
MLS Listing,,Condo/Co-op,6146 N Ravenswood Ave #4,Chicago,IL,60660,239000,2,2.0,CHI - West Ridge,,,1924,2,,163,Active,July-20-2024 11:00 AM,July-20-2024 01:00 PM,https://www.redfin.com/IL/Chicago/6146-N-Ravenswood-Ave-60660/unit-4/home/26807363,MRED as Distributed by MLS Grid,12108706,N,Y,41.9933356,-87.6755795
MLS Listing,,Condo/Co-op,2057 W Fargo Ave #1,Chicago,IL,60645,309900,3,3.0,CHI - Rogers Park,,,1927,3,,393,Active,,,https://www.redfin.com/IL/Chicago/2057-W-Fargo-Ave-60645/unit-1/home/26802052,MRED as Distributed by MLS Grid,12111850,N,Y,42.016342,-87.6827115
MLS Listing,,Single Family Residential,6159 S Natoma Ave,Chicago,IL,60638,355000,4,3.0,CHI - Clearing,1280,3876,1954,3,277,,Active,,,https://www.redfin.com/IL/Chicago/6159-S-Natoma-Ave-60638/home/13999013,MRED as Distributed by MLS Grid,12111561,N,Y,41.779561,-87.7871566
MLS Listing,,Condo/Co-op,500 W Superior St #802,Chicago,IL,60654,530000,2,2.0,CHI - Near North Side,1154,,2005,3,459,1350,Active,,,https://www.redfin.com/IL/Chicago/500-W-Superior-St-60654/unit-802/home/12621468,MRED as Distributed by MLS Grid,12106008,N,Y,41.895951,-87.642196
MLS Listing,,Single Family Residential,3343 N Narragansett Ave,Chicago,IL,60634,275000,4,1.5,CHI - Dunning,1132,5124,1928,3,243,,Active,,,https://www.redfin.com/IL/Chicago/3343-N-Narragansett-Ave-60634/home/13463707,MRED as Distributed by MLS Grid,12100636,N,Y,41.9414649,-87.7859062
MLS Listing,,Condo/Co-op,3236 N Elston Ave #2,Chicago,IL,60618,265000,2,1.0,CHI - Avondale,900,,,3,294,337,Active,,,https://www.redfin.com/IL/Chicago/3236-N-Elston-Ave-60618/unit-2/home/18932697,MRED as Distributed by MLS Grid,12101334,N,Y,41.9400425,-87.6998254
MLS Listing,,Condo/Co-op,5236 N Kenmore Ave Unit 1N,Chicago,IL,60640,625000,3,2.5,CHI - Edgewater,2000,,2018,6,313,160,Active,July-20-2024 12:00 PM,July-20-2024 02:00 PM,https://www.redfin.com/IL/Chicago/5236-N-Kenmore-Ave-60640/unit-1N/home/175637668,MRED as Distributed by MLS Grid,12107549,N,Y,41.9774997,-87.6568341
MLS Listing,,Condo/Co-op,226 N Clinton St #117,Chicago,IL,60661,459900,2,2.0,Clinton Street Lofts,1150,,,6,400,558,Active,,,https://www.redfin.com/IL/Chicago/226-N-Clinton-St-60661/unit-117/home/12787727,MRED as Distributed by MLS Grid,12109804,N,Y,41.8862901,-87.6417042
MLS Listing,,Single Family Residential,8837 S Saginaw Ave,Chicago,IL,60617,199900,4,1.5,CHI - South Chicago,2044,3484,1900,6,98,,Active,,,https://www.redfin.com/IL/Chicago/8837-S-Saginaw-Ave-60617/home/13044062,MRED as Distributed by MLS Grid,12109504,N,Y,41.7343379,-87.5592582
MLS Listing,,Single Family Residential,1024 N Humphrey Ave,Oak Park,IL,60302,359999,5,2.0,Oak Park,1250,,1922,6,288,,Active,,,https://www.redfin.com/IL/Oak-Park/1024-N-Humphrey-Ave-60302/home/13278033,MRED as Distributed by MLS Grid,12109651,N,Y,41.9047949,-87.7764032
MLS Listing,,Single Family Residential,7420 W Winona St,Harwood Heights,IL,60706,395000,3,1.5,Harwood Heights,,,1948,6,,,Active,,,https://www.redfin.com/IL/Harwood-Heights/7420-W-Winona-St-60706/home/13555391,MRED as Distributed by MLS Grid,12108174,N,Y,41.9737384,-87.8129054
MLS Listing,,Single Family Residential,7323 S Maplewood Ave,Chicago,IL,60629,200000,4,2.0,CHI - Chicago Lawn,740,3920,1951,6,270,,Active,,,https://www.redfin.com/IL/Chicago/7323-S-Maplewood-Ave-60629/home/13985788,MRED as Distributed by MLS Grid,12104575,N,Y,41.7602892,-87.6865437
MLS Listing,,Condo/Co-op,701 S Wells St #1605,Chicago,IL,60607,399900,2,2.0,CHI - Loop,1263,,2002,6,317,945,Active,,,https://www.redfin.com/IL/Chicago/701-S-Wells-St-60607/unit-1605/home/12693469,MRED as Distributed by MLS Grid,12103885,N,Y,41.8731482,-87.6332396
MLS Listing,,Condo/Co-op,2041 N Bissell St #2,Chicago,IL,60614,675000,2,2.0,CHI - Lincoln Park,,,2002,7,,195,Active,,,https://www.redfin.com/IL/Chicago/2041-N-Bissell-St-60614/unit-2/home/12698857,MRED as Distributed by MLS Grid,12108236,N,Y,41.9193469,-87.6519097
MLS Listing,,Single Family Residential,4345 N Albany Ave,Chicago,IL,60618,995000,4,3.5,CHI - Irving Park,2100,3125,2013,7,474,,Active,July-21-2024 01:00 PM,July-21-2024 03:00 PM,https://www.redfin.com/IL/Chicago/4345-N-Albany-Ave-60618/home/13487694,MRED as Distributed by MLS Grid,12106159,N,Y,41.9607101,-87.7055177
MLS Listing,,Condo/Co-op,100 E 14th St #1007,Chicago,IL,60605,439900,2,2.0,Museum Park,1248,,2008,7,352,737,Active,,,https://www.redfin.com/IL/Chicago/100-E-14th-St-60605/unit-1007/home/39558226,MRED as Distributed by MLS Grid,12108730,N,Y,41.8642505,-87.6236871
MLS Listing,,Condo/Co-op,57 E Delaware Pl #2306,Chicago,IL,60611,599000,2,2.0,The Bristol,1500,,1999,7,399,1265,Active,,,https://www.redfin.com/IL/Chicago/57-E-Delaware-Pl-60611/unit-2306/home/12770293,MRED as Distributed by MLS Grid,12108620,N,Y,41.8989536,-87.6261597
MLS Listing,,Single Family Residential,823 N Richmond St,Chicago,IL,60622,775000,5,3.5,CHI - West Town,3200,,2017,7,242,,Active,,,https://www.redfin.com/IL/Chicago/823-N-Richmond-St-60622/home/167610999,MRED as Distributed by MLS Grid,12100435,N,Y,41.8963364,-87.7000853
MLS Listing,,Single Family Residential,8738 S Wabash Ave,Chicago,IL,60619,325000,4,3.5,CHI - Chatham,1757,5662,1919,7,185,,Active,July-21-2024 02:00 PM,July-21-2024 04:00 PM,https://www.redfin.com/IL/Chicago/8738-S-Wabash-Ave-60619/home/13111580,MRED as Distributed by MLS Grid,12098743,N,Y,41.7352035,-87.6229166
MLS Listing,,Condo/Co-op,1117 W Fry St Unit G,Chicago,IL,60642,359000,2,2.0,CHI - West Town,1600,,1890,7,224,319,Active,,,https://www.redfin.com/IL/Chicago/1117-W-Fry-St-60642/unit-G/home/12789303,MRED as Distributed by MLS Grid,12107246,N,Y,41.8971566,-87.6559008
MLS Listing,,Condo/Co-op,1355 N Sandburg Ter Unit 2108D,Chicago,IL,60610,319000,1,1.0,CHI - Near North Side,850,,1950,7,375,918,Active,,,https://www.redfin.com/IL/Chicago/1355-N-Sandburg-Ter-60610/unit-2108D/home/14112609,MRED as Distributed by MLS Grid,12101257,N,Y,41.9070365,-87.6319256
MLS Listing,,Condo/Co-op,2205 W Highland Ave Unit 4N,Chicago,IL,60659,170000,2,1.0,CHI - West Ridge,1111,,1956,7,153,376,Active,,,https://www.redfin.com/IL/Chicago/2205-W-Highland-Ave-60659/unit-4N/home/12663831,MRED as Distributed by MLS Grid,12104250,N,Y,41.9966437,-87.6852402
MLS Listing,,Condo/Co-op,4005 S Calumet Ave #1,Chicago,IL,60653,174900,2,2.0,CHI - Grand Boulevard,2100,,1895,7,83,331,Active,,,https://www.redfin.com/IL/Chicago/4005-S-Calumet-Ave-60653/unit-1/home/12733122,MRED as Distributed by MLS Grid,12108030,N,Y,41.8217632,-87.6181522
MLS Listing,,Single Family Residential,5853 N Central Ave,Chicago,IL,60646,459900,3,1.5,Indian Woods,1751,7000,1948,7,263,,Active,July-20-2024 01:00 PM,July-20-2024 03:00 PM,https://www.redfin.com/IL/Chicago/5853-N-Central-Ave-60646/home/13513111,MRED as Distributed by MLS Grid,12099132,N,Y,41.9873482,-87.7677811
