SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,5757 E University Blvd Unit 22T,Dallas,TX,75206,267000,2,2.5,University Crossroads 01 & 02,902,249250,1983,1,296,420,Active,,,https://www.redfin.com/TX/Dallas/5757-E-University-Blvd-75206/unit-22T/home/31125684,NTREIS,20665801,N,Y,32.8458389,-96.7686781
MLS Listing,,Single Family Residential,1206 N Selva Dr,Dallas,TX,75218,625000,3,2.0,Casa Linda Estates,1320,22303,1951,1,473,,Active,July-20-2024 12:00 PM,July-20-2024 02:00 PM,https://www.redfin.com/TX/Dallas/1206-N-Selva-Dr-75218/home/30861680,NTREIS,20669766,N,Y,32.8378287,-96.6966251
MLS Listing,,Single Family Residential,6100 Victor St,Dallas,TX,75214,675000,4,2.0,Hill Crest,1752,7754,1916,1,385,,Active,,,https://www.redfin.com/TX/Dallas/6100-Victor-St-75214/home/30802368,NTREIS,20669339,N,Y,32.8076612,-96.751446
MLS Listing,,Single Family Residential,6634 Dupper Dr,Dallas,TX,75252,662500,3,3.0,Preston Highlands Ph IV,2455,8712,1985,2,270,,Active,,,https://www.redfin.com/TX/Dallas/6634-Dupper-Dr-75252/home/32173817,NTREIS,20660334,N,Y,33.001419,-96.7872264
MLS Listing,,Single Family Residential,26 Lakeway Dr,Heath,TX,75032,618000,3,2.5,Windward Slope,2992,16117,1983,6,207,,Active,,,https://www.redfin.com/TX/Rockwall/26-Lakeway-Dr-75032/home/33926246,NTREIS,20672932,N,Y,32.8734739,-96.4779331
MLS Listing,,Townhouse,4934 Camdale Ct,Dallas,TX,75206,650000,3,3.5,Fitzhugh Glen,2092,1350,2017,13,311,,Active,July-21-2024 01:00 PM,July-21-2024 03:00 PM,https://www.redfin.com/TX/Dallas/4934-Camdale-Ct-75206/home/147237623,NTREIS,20640817,N,Y,32.8093056,-96.7792725
MLS Listing,,Townhouse,1021 Pavillion St #1,Dallas,TX,75204,599000,3,3.5,Veranda,2156,40772,2014,15,278,300,Active,,,https://www.redfin.com/TX/Dallas/1021-Pavillion-St-75204/unit-1/home/191455757,NTREIS,20661165,N,Y,32.7940711,-96.7901287
MLS Listing,,Townhouse,3142 Ross Ave #2,Dallas,TX,75204,579000,3,2.5,Veranda,1978,40772,2014,15,293,300,Active,,,https://www.redfin.com/TX/Dallas/3142-Ross-Ave-75204/unit-2/home/191450035,NTREIS,20661139,N,Y,32.7941357,-96.7903872
MLS Listing,,Condo/Co-op,5616 Preston Oaks Rd #1506,Dallas,TX,75254,250000,2,2.0,Oaks On Montfort Ph 01 02 & 04,1115,301958,1982,16,224,409,Active,,,https://www.redfin.com/TX/Dallas/5616-Preston-Oaks-Rd-75254/unit-1506/home/31130555,NTREIS,20658074,N,Y,32.9425883,-96.8129924
MLS Listing,,Condo/Co-op,2950 Mckinney Ave #405,Dallas,TX,75204,339000,1,1.5,Mercer Square Condo,878,65558,2006,17,386,435,Active,,,https://www.redfin.com/TX/Dallas/2950-McKinney-Ave-75204/unit-405/home/30776456,NTREIS,20660110,N,Y,32.8007306,-96.8005621
MLS Listing,,Condo/Co-op,10744 Park Village Pl Unit D,Dallas,TX,75230,299000,1,1.0,Royal Lane Condo 5800,735,492707,1969,20,407,459,Active,July-21-2024 01:00 PM,July-21-2024 03:00 PM,https://www.redfin.com/TX/Dallas/10744-Park-Village-Pl-75230/unit-D/home/30877521,NTREIS,20658011,N,Y,32.8940922,-96.8067023
MLS Listing,,Single Family Residential,711 Via Estrella,Dallas,TX,75211,310000,3,2.5,Santa Clara,1348,5009,2001,27,230,,Active,,,https://www.redfin.com/TX/Dallas/711-Via-Estrella-75211/home/32213424,NTREIS,20644128,N,Y,32.7389801,-96.8947376
MLS Listing,,Single Family Residential,12729 Royal Oaks Ln,Farmers Branch,TX,75234,865000,4,3.5,Amesbury Add,3606,5227,2022,28,240,95,Active,,,https://www.redfin.com/TX/Dallas/12729-Royal-Oaks-Ln-75234/home/169397549,NTREIS,20643867,N,Y,32.9141488,-96.9307135
