SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,16-2061 Hilonani Dr,Pahoa,HI,96778,349950,3,2.0,Ainaloa,1144,12000,1979,9,306,,Active,,,https://www.redfin.com/HI/Pahoa/16-2061-Hilonani-Dr-96778/home/88404228,HI Information Service,711959,N,Y,19.5337738,-154.9822039
MLS Listing,,Condo/Co-op,68-3868 Paniolo Ave Unit B201,Waikoloa,HI,96738,573000,2,2.0,Waikoloa Village,1018,,2006,15,563,793,Active,,,https://www.redfin.com/HI/Waikoloa/68-3868-Paniolo-Ave-96738/unit-B201/home/88388981,HI Information Service,711839,N,Y,19.9325406,-155.7882917
MLS Listing,,Single Family Residential,75-5783 Kakalina St,Kailua-kona,HI,96740,1025000,3,2.0,Kona Heights Subdivision,1256,7678,2020,50,816,,Active,,,https://www.redfin.com/HI/Kailua-Kona/75-5783-Kakalina-St-96740/home/88431861,HI Information Service,710901,N,Y,19.6388869,-155.974336
MLS Listing,,Single Family Residential,15-679 Puni Mauka Loop,Pahoa,HI,96778,390000,2,2.0,Hawaiian Shores Subdivision,1296,15077,2001,1,301,,Active,,,https://www.redfin.com/HI/Pahoa/15-679-Puni-Mauka-Loop-S-96778/home/79232196,HI Information Service,712186,N,Y,19.5321603,-154.9149851
MLS Listing,,Vacant Land,76 Kipuka St,Pahoa,HI,96778,250000,,,Puna Beach Palisades,,20000,,1,,,Active,,,https://www.redfin.com/HI/Pahoa/76-Kipuka-St-96778/home/191718255,HI Information Service,710786,N,Y,19.3999191,-154.9259043
MLS Listing,,Single Family Residential,15-1642 6th Ave,Keaau,HI,96749,350000,1,1.0,Hawaiian Paradise Park,1120,43560,2007,1,313,,Active,,,https://www.redfin.com/HI/Keaau/15-1642-6th-Ave-96749/home/88399225,HI Information Service,712421,N,Y,19.6004284,-154.9608965
MLS Listing,,Vacant Land,16-1814 Keaau Pahoa Rd,Pahoa,HI,96760,145000,,,Orchid Land Estates,,44039,,1,,,Active,,,https://www.redfin.com/HI/Pahoa/16-1814-Keaau-Pahoa-RD-96760/home/191717888,HI Information Service,712509,N,Y,19.55338348,-154.98688137
MLS Listing,,Vacant Land,ONOMEA SUGAR COMPANY,Papaikou,HI,96781,680000,,,Onomea Sugar Company,,1441836,,1,,,Active,,,https://www.redfin.com/HI/Papaikou/27256-Old-Mamalahoa-Hwy-96781/home/179471182,HI Information Service,712445,N,Y,19.7838965,-155.0933248
MLS Listing,,Vacant Land,D Akolea Rd,Hilo,HI,96720,5000000,,,Hilo,,12353180,,1,,,Active,,,https://www.redfin.com/HI/Hilo/D-Akolea-Rd-96720/home/191651145,HI Information Service,712621,N,Y,19.70636001,-155.13119247
