SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,2417 Virginia Rd,Los Angeles,CA,90016,1049000,3,2.0,C16 - Mid Los Angeles,1225,6029,1922,1,856,,Active,July-21-2024 02:00 PM,July-21-2024 05:00 PM,https://www.redfin.com/CA/Los-Angeles/2417-Virginia-Rd-90016/home/6892073,CRMLS,BB24143223,N,Y,34.0340766,-118.338571
MLS Listing,,Single Family Residential,8229 Kyle St,Sunland,CA,91040,1049000,4,3.0,659 - Sunland/Tujunga,2063,6284,1953,1,508,,Active,July-19-2024 03:00 PM,July-19-2024 06:00 PM,https://www.redfin.com/CA/Sunland/8229-Kyle-St-91040/home/5508891,CRMLS,BB24141524,N,Y,34.264998,-118.3124691
MLS Listing,,Single Family Residential,15307 Lemay St,Van Nuys,CA,91406,915000,4,3.5,East Van Nuys,2030,1895,2022,1,451,162,Active,July-20-2024 01:00 PM,July-20-2024 04:00 PM,https://www.redfin.com/CA/Van-Nuys/15307-Lemay-St-91406/home/182281590,TheMLS,24-416885,N,Y,34.1922655,-118.4664709
MLS Listing,,Single Family Residential,3617 4th Ave,Los Angeles,CA,90018,999000,4,2.0,PHHT - Park Hills Heights,1916,5500,1912,1,521,,Pre On-Market,,,https://www.redfin.com/CA/Los-Angeles/3617-4th-Ave-90018/home/6888468,CRMLS,BB24124951,N,Y,34.0223449,-118.3216126
MLS Listing,,Townhouse,14435 Benefit St #3,Sherman Oaks,CA,91423,769000,2,2.5,SO - Sherman Oaks,1231,6805,1981,1,625,300,Active,July-21-2024 01:00 PM,July-21-2024 04:00 PM,https://www.redfin.com/CA/Sherman-Oaks/14435-Benefit-St-91423/unit-3/home/4836180,CRMLS,BB24146486,N,Y,34.1490932,-118.4474161
MLS Listing,,Townhouse,630 Cabrillo Villas,Los Angeles,CA,90042,875000,3,3.0,676 - Monterey Hills,1411,88058,1979,1,620,560,Active,July-20-2024 01:00 PM,July-20-2024 04:00 PM,https://www.redfin.com/CA/Los-Angeles/630-Cabrillo-Villas-90042/home/6997620,CRMLS,OC24146523,N,Y,34.0998708,-118.1833113
MLS Listing,,Single Family Residential,1530 S Genesee Ave,Los Angeles,CA,90019,1499000,3,2.0,C16 - Mid Los Angeles,1420,6891,1924,6,1056,,Active,July-20-2024 02:00 PM,July-20-2024 05:00 PM,https://www.redfin.com/CA/Los-Angeles/1530-S-Genesee-Ave-90019/home/6904151,CRMLS,BB24139118,N,Y,34.048137,-118.363943
MLS Listing,,Single Family Residential,1032 S Mesa St,San Pedro,CA,90731,615000,2,1.0,185 - Plaza,624,1448,1918,6,986,,Active,July-19-2024 01:00 PM,July-19-2024 04:00 PM,https://www.redfin.com/CA/San-Pedro/1032-S-Mesa-St-90731/home/7690987,CRMLS,OC24140304,N,Y,33.7344941,-118.2855748
MLS Listing,,Townhouse,2753 Waverly Dr #705,Los Angeles,CA,90039,1129000,2,3.0,671 - Silver Lake,1243,19785,2016,6,908,370,Active,,,https://www.redfin.com/CA/Los-Angeles/2753-Waverly-Dr-90039/unit-705/home/110239017,CRMLS,BB24141442,N,Y,34.1090012,-118.262777
