SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1823 SW 18th Ave,Miami,FL,33145,1249000,5,4.0,AMD PLAT VENICE HEIGHTS,2842,4916,1938,1,439,,Active,,,https://www.redfin.com/FL/Miami/1823-SW-18th-Ave-33145/home/42740941,MARMLS,A11624743,N,Y,25.7550161,-80.223959
MLS Listing,,Single Family Residential,740 NW 42nd St,Miami,FL,33127,589995,2,2.0,BRAE BURN SUB,1362,5400,1954,2,433,,Active,,,https://www.redfin.com/FL/Miami/740-NW-42nd-St-33127/home/42682685,MARMLS,A11607213,N,Y,25.8142811,-80.2087671
MLS Listing,,Condo/Co-op,555 NE 15th St Unit 25A,Miami,FL,33132,625000,2,2.0,VENETIA CONDO,1230,,1980,4,508,1160,Active,,,https://www.redfin.com/FL/Miami/555-NE-15th-St-33132/unit-25A/home/42730379,MARMLS,A11617408,N,Y,25.7901247,-80.1856879
MLS Listing,,Single Family Residential,12922 SW 221st St,Miami,FL,33170,1150000,4,3.5,ESTATE MANSIONS 1ST ADDN,2703,15020,2014,10,425,,Active,,,https://www.redfin.com/FL/Miami/12922-SW-221st-St-33170/home/43368104,MARMLS,A11610573,N,Y,25.5610202,-80.4014278
MLS Listing,,Single Family Residential,16185 SW 136th Ter,Miami,FL,33196,1095000,5,3.5,CRESTVIEW WEST,3045,6364,2016,13,360,90,Active,July-20-2024 12:00 PM,July-20-2024 03:00 PM,https://www.redfin.com/FL/Miami/16185-SW-136th-Ter-33196/home/113410887,MARMLS,A11614244,N,Y,25.6393732,-80.4560426
MLS Listing,,Condo/Co-op,13120 SW 92nd Ave Unit 416B,Miami,FL,33176,343000,2,2.0,VILLAGE AT THE FALLS COND,1253,,1974,29,274,644,Active,,,https://www.redfin.com/FL/Miami/13120-SW-92nd-Ave-33176/unit-B416/home/43358202,MARMLS,A11608440,N,Y,25.6475626,-80.345427
MLS Listing,,Condo/Co-op,1861 NW S River Dr #2203,Miami,FL,33125,385000,2,2.0,TERRAZAS RIVERPARK VILLAG,935,,2010,42,412,1182,Active,,,https://www.redfin.com/FL/Miami/1861-NW-South-River-Dr-33125/unit-2203/home/43445934,MARMLS,A11598674,N,Y,25.7850371,-80.225901
MLS Listing,,Condo/Co-op,800 N Miami Ave Unit E-1505,Miami,FL,33136,319999,1,1.0,MADISON DOWNTOWN CONDO,689,,1989,72,464,674,Active,,,https://www.redfin.com/FL/Miami/800-N-Miami-Ave-33136/unit-E1505/home/43365469,MARMLS,A11579599,N,Y,25.7821006,-80.1942619
MLS Listing,,Condo/Co-op,1581 Brickell Ave #508,Miami,FL,33129,600000,1,1.0,VILLA REGINA CONDO,717,,1982,97,837,907,Active,,,https://www.redfin.com/FL/Miami/1581-Brickell-Ave-33129/unit-508/home/42764048,MARMLS,A11567728,N,Y,25.7564058,-80.1933295
