SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,1930 Mission St #4,San Francisco,CA,94103,749000,2,1.0,SF District 9,873,9108,1993,9,858,550,Active,,,https://www.redfin.com/CA/San-Francisco/1930-Mission-St-94103/unit-4/home/1928229,San Francisco MLS,424046817,N,Y,37.7662071,-122.4201693
MLS Listing,,Condo/Co-op,401 Crescent Ct #4206,San Francisco,CA,94134,650000,2,2.0,SAN FRANCISCO,935,,2007,10,695,719,Active,,,https://www.redfin.com/CA/San-Francisco/401-Crescent-Ct-94134/unit-4206/home/22890560,MLSListings,ML81972319,N,Y,37.7113229,-122.3881225
MLS Listing,,Single Family Residential,338 Holladay St,San Francisco,CA,94110,1595000,3,3.0,SF District 9,2100,1735,2006,20,760,,Active,,,https://www.redfin.com/CA/San-Francisco/338-Holladay-Ave-94110/home/12226751,San Francisco MLS,424038344,N,Y,37.7443757,-122.4060767
MLS Listing,,Single Family Residential,780 Delano Ave,San Francisco,CA,94112,1100000,4,2.0,SF District 10,1348,1873,1943,27,816,,Active,,,https://www.redfin.com/CA/San-Francisco/780-Delano-Ave-94112/home/2034984,San Francisco MLS,424042911,N,Y,37.7191964,-122.4459309
MLS Listing,,Condo/Co-op,5853 Mission St #2,San Francisco,CA,94112,525000,1,1.0,SF District 10,708,9825,1980,62,742,400,Active,,,https://www.redfin.com/CA/San-Francisco/5853-Mission-St-94112/unit-2/home/795540,San Francisco MLS,424034513,N,Y,37.7089284,-122.4514649
MLS Listing,,Single Family Residential,1458 Hudson Ave,San Francisco,CA,94124,1349000,3,2.0,SF District 10,2000,2667,1941,68,675,,Active,,,https://www.redfin.com/CA/San-Francisco/1458-Hudson-Ave-94124/home/748039,BAREIS,424031843,N,Y,37.738702,-122.3855368
MLS Listing,,Condo/Co-op,1045 York St Unit B,San Francisco,CA,94110,1050000,2,1.5,SF District 9,1050,2495,1896,77,1000,280,Active,July-21-2024 01:00 PM,July-21-2024 04:00 PM,https://www.redfin.com/CA/San-Francisco/1045-York-St-94110/unit-B/home/144063919,San Francisco MLS,424027744,N,Y,37.7553087,-122.4083216
MLS Listing,,Condo/Co-op,110 Channel St #433,San Francisco,CA,94158,1395000,2,2.0,SF District 9,1181,49773,2017,81,1181,998,Active,July-19-2024 05:30 PM,July-19-2024 07:00 PM,https://www.redfin.com/CA/San-Francisco/110-Channel-St-94158/unit-433/home/145279412,San Francisco MLS,424016631,N,Y,37.774613,-122.3911589
MLS Listing,,Condo/Co-op,767 Bryant St #203,San Francisco,CA,94107,1995000,2,3.0,SAN FRANCISCO,3496,,2002,84,571,1408,Active,,,https://www.redfin.com/CA/San-Francisco/767-Bryant-St-94107/unit-203/home/2006816,MLSListings,ML81963018,N,Y,37.7763746,-122.4016047
