SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,730 24th St NW #220,Washington,DC,20037,258900,0,1.0,Foggy Bottom,520,,1961,1,498,827,Active,,,https://www.redfin.com/DC/Washington/730-24th-St-NW-20037/unit-220/home/143731757,BRIGHT MLS,DCDC2150450,N,Y,38.8989336,-77.0517241
MLS Listing,,Condo/Co-op,3101 Sherman Ave NW #301,Washington,DC,20010,414900,1,1.0,Columbia Heights,612,,2017,1,678,420,Active,July-21-2024 01:00 PM,July-21-2024 03:00 PM,https://www.redfin.com/DC/Washington/3101-Sherman-Ave-NW-20010/unit-301/home/115547612,BRIGHT MLS,DCDC2150212,N,Y,38.9290209,-77.0259956
MLS Listing,,Single Family Residential,3613 Brothers Pl SE,Washington,DC,20032,1500000,3,2.0,Congress Heights,1482,10541,1908,3,1012,,Active,,,https://www.redfin.com/DC/Washington/3613-Brothers-Pl-SE-20032/home/10167194,BRIGHT MLS,DCDC2150472,N,Y,38.8396258,-77.0065382
MLS Listing,,Townhouse,1622 6th St NW,Washington,DC,20001,1150000,4,3.5,Old City 2,2768,1785,1900,6,415,,Active,July-21-2024 01:00 PM,July-21-2024 03:00 PM,https://www.redfin.com/DC/Washington/1622-6th-St-NW-20001/home/9879262,BRIGHT MLS,DCDC2150188,N,Y,38.9118074,-77.0201812
MLS Listing,,Single Family Residential,1802 24th Pl SE,Washington,DC,20020,569000,4,3.0,Randle Heights,2124,2422,1927,6,268,,Active,July-21-2024 01:00 PM,July-21-2024 03:00 PM,https://www.redfin.com/DC/Washington/1802-24th-Pl-SE-20020/home/10150936,BRIGHT MLS,DCDC2150024,N,Y,38.8680048,-76.9719392
MLS Listing,,Townhouse,1701 D St NE,Washington,DC,20002,700000,3,2.0,Old City 1,1822,1440,1931,7,384,,Active,,,https://www.redfin.com/DC/Washington/1701-D-St-NE-20002/home/10115280,BRIGHT MLS,DCDC2149142,N,Y,38.8946068,-76.9805779
MLS Listing,,Condo/Co-op,2024 16th St NW Unit B,Washington,DC,20009,414000,1,1.0,Old City 2,596,,1920,7,695,180,Active,,,https://www.redfin.com/DC/Washington/2024-16th-St-NW-20009/unit-B/home/143815261,BRIGHT MLS,DCDC2149696,N,Y,38.9176989,-77.0368768
MLS Listing,,Multi-Family (2-4 Unit),208 T St NE,Washington,DC,20002,1600000,,,Eckington,2992,2551,1938,7,535,,Active,,,https://www.redfin.com/DC/Washington/208-T-St-NE-20002/home/10075191,BRIGHT MLS,DCDC2149314,N,Y,38.9157877,-77.0030917
MLS Listing,,Condo/Co-op,1211 Van St SE #315,Washington,DC,20003,495000,1,1.0,Old City 1,670,,2020,7,739,474,Active,,,https://www.redfin.com/DC/Washington/1211-Van-St-SE-20003/unit-315/home/175691751,BRIGHT MLS,DCDC2148648,N,Y,38.87628,-77.0085016
MLS Listing,,Townhouse,4305 3rd St NW,Washington,DC,20011,974900,4,3.5,Petworth,2058,1670,1923,7,474,,Active,,,https://www.redfin.com/DC/Washington/4305-3rd-St-NW-20011/home/10065236,BRIGHT MLS,DCDC2149376,N,Y,38.9434737,-77.0152309
MLS Listing,,Condo/Co-op,1620 Corcoran St NW Unit A1,Washington,DC,20009,499999,2,2.0,Old City 2,753,,1875,7,664,366,Active,,,https://www.redfin.com/DC/Washington/1620-Corcoran-St-NW-20009/unit-A1/home/11744722,BRIGHT MLS,DCDC2148654,N,Y,38.9116883,-77.0376573
MLS Listing,,Single Family Residential,5706 Nevada Ave NW,Washington,DC,20015,3095000,6,4.5,Chevy Chase,6258,5160,1930,8,495,,Active,,,https://www.redfin.com/DC/Washington/5706-Nevada-Ave-NW-20015/home/9978802,BRIGHT MLS,DCDC2146246,N,Y,38.9660575,-77.0709496
MLS Listing,,Condo/Co-op,315 G St NE #306,Washington,DC,20002,374900,1,1.0,Old City 1,410,,1927,8,914,420,Active,,,https://www.redfin.com/DC/Washington/315-G-St-NE-20002/unit-306/home/40511266,BRIGHT MLS,DCDC2148930,N,Y,38.8986683,-77.0013973
MLS Listing,,Condo/Co-op,4600 Connecticut Ave NW #526,Washington,DC,20008,325000,1,1.0,Wakefield,556,,1948,8,585,650,Active,July-21-2024 01:00 PM,July-21-2024 03:00 PM,https://www.redfin.com/DC/Washington/4600-Connecticut-Ave-NW-20008/unit-526/home/9976457,BRIGHT MLS,DCDC2147844,N,Y,38.9502949,-77.0675324
MLS Listing,,Townhouse,215 R St NE Unit A,Washington,DC,20002,770000,3,2.0,Eckington,1411,,2004,8,546,454,Active,,,https://www.redfin.com/DC/Washington/215-R-St-NE-20002/unit-A/home/10345815,BRIGHT MLS,DCDC2144320,N,Y,38.9124063,-77.0029838
